x,y
0.780122222,1.987190127
0.783456111,1.99604845
0.786789722,2.000969648
0.790123611,2.006875038
0.7934575,2.010812044
0.796791111,2.023607254
0.800125,2.030496836
0.803458889,2.038370848
0.8067925,2.04624486
0.810126389,2.051166058
0.813460278,2.060024261
0.816793889,2.06592989
0.820127778,2.075772285
0.823461667,2.081677675
0.826795278,2.088567495
0.830129167,2.098409891
0.833463056,2.103331089
0.836796667,2.109236479
0.840130556,2.119079113
0.843464444,2.124000072
0.846798056,2.129905701
0.850131944,2.143685341
0.853465833,2.145653486
0.856799444,2.155495882
0.860133333,2.164354324
0.863467222,2.171243906
0.866800833,2.181086302
0.870134722,2.187976122
0.873468611,2.194865942
0.876802222,2.203724146
0.880136111,2.207660913
0.883469722,2.215535164
0.886803611,2.224393129
0.8901375,2.233251333
0.893471111,2.246046543
0.896805,2.253920555
0.900138889,2.257857561
0.9034725,2.262778521
0.906806389,2.275573969
0.910140278,2.282463551
0.913473889,2.292306185
0.916807778,2.29427433
0.920141389,2.305101395
0.923475278,2.311990976
0.926809167,2.324786186
0.930142778,2.331675768
0.933476667,2.335612774
0.936810556,2.34053421
0.940144167,2.351360798
0.943478056,2.357266188
0.946811667,2.362187624
0.950145556,2.373998642
0.953479444,2.382856607
0.956813056,2.388761997
0.960146944,2.400573015
0.963480833,2.404510021
0.966814444,2.414352417
0.970148333,2.423210621
0.973481944,2.427147627
0.976815833,2.436005831
0.980149722,2.445848227
0.983483333,2.457659245
0.986817222,2.461596012
0.990150833,2.472422838
0.993484722,2.479312658
0.996818611,2.484233856
1.000152222,2.491123438
1.003486111,2.500965834
1.006819722,2.507855892
1.010153611,2.516713858
1.0134875,2.525572062
1.016821111,2.535414457
1.020155,2.541319847
1.023488611,2.548209667
1.0268225,2.55706811
1.030156389,2.562973261
1.03349,2.571831465
1.036823889,2.580690145
1.0401575,2.583642483
1.043491389,2.597421885
1.046825278,2.60627985
1.050158889,2.612185478
1.053492778,2.621043682
1.056826389,2.62694931
