Gene_ID,Raw_FPKM,H3K4me3_signal_bin25,H3K27me3_signal_bin21
Eucgr.A01186,0,32.5132,-10.3881
Eucgr.A01187,0,7.33877,-9.32811
Eucgr.A01189,0,-22.6366,37.1502
Eucgr.A01203,0,-10.3975,12.7786
Eucgr.A01212,0,58.2016,81.9154
Eucgr.A01220,0,-14.7102,-1.89798
Eucgr.A01223,0,-2.8776,-5.57324
Eucgr.A01230,0,-5.25187,57.9422
Eucgr.A01233,0,-13.5975,1.37574
Eucgr.A01248,0,-18.4158,-5.13811
Eucgr.A01253,0,-14.5182,-5.78812
Eucgr.A01257,0,-201.682,-3.26579
Eucgr.A01259,0,26.2387,24.0466
Eucgr.A01261,0,-15.2797,-6.44811
Eucgr.A01267,0,-15.415,-6.27811
Eucgr.A01281,0,25.7414,-7.22811
Eucgr.A01296,0,3.97744,82.2668
Eucgr.A01297,0,9.41324,59.0645
Eucgr.A01308,0,1.43115,1.20108
Eucgr.A01314,0,9.15282,19.7595
Eucgr.A01334,0,34.6948,11.5519
Eucgr.A01340,0,-9.32046,-7.13811
Eucgr.A01341,0,53.9676,2.81189
Eucgr.A01343,0,44.2896,17.681
Eucgr.A01347,0,70.4014,0.76398
Eucgr.A01351,0,11.9049,10.5233
Eucgr.A01352,0,21.0727,-5.66811
Eucgr.A01354,0,53.8049,5.30189
Eucgr.A01355,0,-14.508,-10.7181
Eucgr.A01356,0,-10.3245,-9.10811
Eucgr.A01359,0,-28.6378,28.4843
Eucgr.A01361,0,17.4615,14.7368
Eucgr.A01382,0,41.1899,55.3734
Eucgr.A01384,0,25.7236,86.872
Eucgr.A01387,0,-24.5249,7.5679
Eucgr.A01399,0,-19.7202,3.87276
Eucgr.A01404,0,29.2789,5.37189
Eucgr.A01417,0,10.1559,14.3211
Eucgr.A01434,0,-7.18403,15.1779
Eucgr.A01462,0,14.2406,-4.68811
Eucgr.A01477,0,8.69634,6.64316
Eucgr.A01504,0,131.008,1.66303
Eucgr.A01506,0,30.7428,67.9897
Eucgr.A01511,0,11.4316,50.2841
Eucgr.A01513,0,27.4251,125.676
Eucgr.A01516,0,-10.7878,98.4139
Eucgr.A01526,0,-19.6016,-1.46811
Eucgr.A01539,0,-13.0442,-7.62811
Eucgr.A01545,0,-11.7917,-7.42812
Eucgr.A01556,0,-14.4796,45.1769
Eucgr.A01569,0,60.9097,49.1602
Eucgr.A01570,0,-18.4554,80.4963
Eucgr.A01575,0,37.4213,54.6355
Eucgr.A01578,0,-14.3059,35.769
Eucgr.A01579,0,12.84,41.6887
Eucgr.A01583,0,-21.0598,57.8672
Eucgr.A01584,0,130.605,99.6858
Eucgr.A01612,0,26.8273,13.1245
Eucgr.A01637,0,-12.7732,-7.36233
Eucgr.A01647,0,13.8268,27.9652
Eucgr.A01648,0,4.59052,2.05189
Eucgr.A01651,0,16.8488,-11.0483
Eucgr.A01660,0,-17.2302,-5.46811
Eucgr.A01666,0,18.397,58.3961
Eucgr.A01673,0,-10.0084,-8.30461
Eucgr.A01675,0,-16.8567,-10.6881
Eucgr.A01676,0,-19.3398,24.6333
Eucgr.A01677,0,-14.6896,11.5819
Eucgr.A01717,0,0.596512,41.0452
Eucgr.A01723,0,63.2794,61.1496
Eucgr.A01727,0,60.6945,58.1625
Eucgr.A01728,0,-1.31782,73.5929
Eucgr.A01729,0,60.3126,162.843
Eucgr.A01730,0,72.2012,125.534
Eucgr.A01731,0,43.5314,78.6729
Eucgr.A01743,0,20.4895,81.763
Eucgr.A01766,0,2.85297,14.1738
Eucgr.A01770,0,54.3405,-14.6624
Eucgr.A01775,0,-13.6046,-1.49811
Eucgr.A01790,0,27.2784,48.8434
Eucgr.A01793,0,-27.6581,-3.36811
Eucgr.A01836,0,-1.82498,9.45189
Eucgr.A01839,0,43.8633,52.7458
Eucgr.A01840,0,-16.2825,103.794
Eucgr.A01841,0,6.93956,24.8704
Eucgr.A01863,0,13.1563,55.9036
Eucgr.A01865,0,-6.20375,54.0142
Eucgr.A01867,0,-3.40144,111.118
Eucgr.A01870,0,-12.8286,-9.73859
Eucgr.A01874,0,37.7047,76.2051
Eucgr.A01875,0,-7.41525,-9.04811
Eucgr.A01876,0,23.6874,31.0919
Eucgr.A01878,0,23.9877,30.2292
Eucgr.A01881,0,18.3918,34.8137
Eucgr.A01893,0,-7.63219,-8.46754
Eucgr.A01901,0,-15.0573,45.3995
Eucgr.A01903,0,-3.91705,-6.27811
Eucgr.A01908,0,-8.36864,78.8836
Eucgr.A01921,0,-10.1412,4.90429
Eucgr.A01963,0,9.49472,35.252
Eucgr.A01964,0,7.22256,115.877
Eucgr.A01965,0,-18.3389,6.55931
Eucgr.A01978,0,4.69723,-32.6496
Eucgr.A01988,0,-19.2845,-18.2223
Eucgr.A01998,0,-9.1322,-8.88811
Eucgr.A02023,0,114.696,38.8116
Eucgr.A02031,0,5.2228,91.6928
Eucgr.A02063,0,-8.60927,-3.92742
Eucgr.A02075,0,-18.5715,-12.5851
Eucgr.A02089,0,61.1265,67.6254
Eucgr.A02090,0,-19.6662,-11.4881
Eucgr.A02104,0,-23.0273,-5.49811
Eucgr.A02124,0,-15.8349,49.3426
Eucgr.A02130,0,11.5798,35.9319
Eucgr.A02148,0,-16.5218,-6.11354
Eucgr.A02152,0,-9.3679,-5.81811
Eucgr.A02164,0,77.6448,-8.49811
Eucgr.A02167,0,-6.52004,37.1624
Eucgr.A02214,0,-4.5128,9.81189
Eucgr.A02218,0,-18.3618,-8.73811
Eucgr.A02220,0,-0.0958315,42.4464
Eucgr.A02221,0,-1.30252,7.95189
Eucgr.A02277,0,49.9854,37.19
Eucgr.A02302,0,18.2491,85.0531
Eucgr.A02311,0,14.1735,-2.62811
Eucgr.A02315,0,-0.481708,-9.09072
Eucgr.A02333,0,3.39795,-6.94963
